id,type,location,area,bedroom,bathroom,garage,condominium,price,latitude,longitude
2538898028,Apartamento,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",65,2,1,,,R$ 295.000,-22.632778,-45.548337
2538900711,Fazenda/Sítio/Chácara,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",2400,,,,,R$ 85.000,-22.632778,-45.548337
2536989203,PIEMONT,"Rua Afonso Serafim, 100 - Barranco, Taubaté - SP",154-197,3,3-4,5,,R$ 753.500,-23.078886,-52.466668
2538012346,Lote/Terreno,"Nossa Senhora de Fatima, Itajubá - MG",287,,,,,R$ 162.144,-22.423382,-45.455883
2538617999,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",300,6,8,4,,R$ 1.500.000,-22.632778,-45.548337
2533128243,Chácara,"Centro, Itajubá - MG",160,3,2,5,,R$ 550.000,-22.632778,-45.548337
2538873019,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",57,2,1,,,R$ 165.000,-22.632778,-45.548337
2538900696,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",2450,,,,,R$ 78.000,-22.632778,-45.548337
2538463117,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",240,4,5,,,R$ 1.300.000,-22.632778,-45.548337
2532729431,Supreme,"Rua Rivaldo Valério, 21 - Loteamento Residencial e Comercial Bosque Flamboyant, Taubaté - SP",362,4,6,5,,R$ 1.895.000,-23.036001,-45.54607
2538012345,Lote/Terreno,"Nossa Senhora de Fatima, Itajubá - MG",210,,,,,R$ 110.000,-22.423382,-45.455883
2538900682,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",0,,,,,R$ 300.000,-22.632778,-45.548337
2538896781,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",120,3,2,2,,R$ 290.000,-22.632778,-45.548337
2538892787,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",240,2,2,,,R$ 200.000,-22.632778,-45.548337
2538620757,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",400,5,6,4,,R$ 1.950.000,-22.632778,-45.548337
2538012343,Apartamento,"Santo Antonio, Itajubá - MG",61,2,1,1,R$ 80,R$ 210.000,-22.423382,-45.455883
2467070586,Parque,"Avenida Arnaldo Felipe Sbruzzi, 275 - Piracangagua, Taubaté - SP",40,2,1,1,,R$ 154.490,-23.036001,-45.54607
2538314874,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",286,8,4,7,,R$ 1.999.999,-22.632778,-45.548337
2538899194,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",70,2,2,,,R$ 350.000,-22.632778,-45.548337
2538012952,Apartamento,"Varginha, Itajubá - MG",108,3,3,1,R$ 421,"R$ 1.400
                      /Mês",-22.13333,-45.53333
2538894898,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",75,2,1,,,R$ 250.000,-22.632778,-45.548337
2538897996,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",0,,,,,R$ 290.000,-22.632778,-45.548337
2538896299,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",381,,,,,R$ 260.000,-22.632778,-45.548337
2480939078,Residencial,"Avenida Gaspar Vaz da Cunha - Caixa D Agua, Taubaté - SP",40,2,1,1,,R$ 149.490,-23.036001,-45.54607
2538894915,Fazenda/Sítio/Chácara,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",2904000,,,,,R$ 6.000.000,-22.632778,-45.548337
2538901078,Fazenda/Sítio/Chácara,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",3603,,,,,R$ 135.000,-22.632778,-45.548337
2538763651,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",250,,,,,R$ 80.000,-22.632778,-45.548337
