type,area,bedroom,bathroom,garage,latitude,longitude,bathroom_per_bedroom,price
Casa,90.0,3.0,3.0,2.0,-21.808695999999998,-46.576769,1.0,360000.0
Apartamento,70.0,2.0,1.0,1.0,-22.885289,-43.328431,0.5,450000.0
Casa,468.0,3.0,3.0,8.0,-31.751756,-52.377656,1.0,850000.0
Apartamento,90.0,3.0,2.0,1.0,-21.784166,-46.553824,0.6666666666666666,320000.0
Apartamento,70.0,2.0,2.0,2.0,-23.014179000000002,-45.574445000000004,1.0,300000.0
Apartamento,150.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,599999.0
Casa,176.0,3.0,1.0,4.0,-22.748914000000003,-43.466145000000004,0.3333333333333333,320000.0
Casa,120.0,3.0,1.0,1.0,-21.808695999999998,-46.576769,0.3333333333333333,450000.0
Apartamento,109.0,3.0,4.0,2.0,-22.118814999999998,-46.683995,1.3333333333333333,650000.0
Casa,186.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,210000.0
Apartamento,351.0,4.0,7.0,6.0,-21.808695999999998,-46.576769,1.75,4200000.0
Casa,150.0,2.0,1.0,1.0,-21.787361999999998,-46.587752,0.5,360000.0
Casa,290.0,3.0,3.0,3.0,-21.808695999999998,-46.576769,1.0,800000.0
Apartamento,60.0,2.0,2.0,1.0,-31.751756,-52.377656,1.0,300000.0
Apartamento,67.0,2.0,3.0,,-21.808695999999998,-46.576769,1.5,499000.0
Casa,62.0,2.0,2.0,2.0,-21.808695999999998,-46.576769,1.0,280000.0
Casa,152.0,4.0,2.0,3.0,-21.808695999999998,-46.576769,0.5,650000.0
Apartamento,70.0,2.0,2.0,1.0,-21.787361999999998,-46.587752,1.0,259057.0
Casa,250.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,890000.0
Casa,253.0,3.0,1.0,6.0,-21.808695999999998,-46.576769,0.3333333333333333,800000.0
Apartamento,77.0,2.0,1.0,3.0,-21.808695999999998,-46.576769,0.5,250000.0
Apartamento,91.0,3.0,3.0,2.0,-21.795123,-46.561417999999996,1.0,495000.0
Casa,271.0,3.0,1.0,1.0,-21.808695999999998,-46.576769,0.3333333333333333,530000.0
Apartamento,83.0,3.0,2.0,2.0,-23.519116,-46.406946999999995,0.6666666666666666,400000.0
Apartamento,74.0,2.0,2.0,2.0,-22.118814999999998,-46.683995,1.0,320000.0
Apartamento,75.0,2.0,2.0,,-21.808695999999998,-46.576769,1.0,429000.0
Apartamento,49.0,2.0,1.0,1.0,-21.791,-46.588941,0.5,160000.0
Apartamento,51.0,2.0,1.0,1.0,38.763782,-9.096756,0.5,159000.0
Apartamento,80.0,2.0,2.0,1.0,-21.787361999999998,-46.587752,1.0,370000.0
Apartamento,119.0,3.0,1.0,2.0,-22.118814999999998,-46.683995,0.3333333333333333,385000.0
Casa,109.0,3.0,2.0,2.0,-22.118814999999998,-46.683995,0.6666666666666666,450000.0
Casa,320.0,3.0,4.0,4.0,-21.808695999999998,-46.576769,1.3333333333333333,1950000.0
Apartamento,82.0,3.0,2.0,2.0,-23.519116,-46.406946999999995,0.6666666666666666,400000.0
Apartamento,69.0,1.0,1.0,2.0,-22.118814999999998,-46.683995,1.0,275308.0
Apartamento,91.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,300000.0
Apartamento,50.0,2.0,1.0,,-21.808695999999998,-46.576769,0.5,230000.0
Casa,364.0,3.0,4.0,10.0,-23.675205,-46.432621000000005,1.3333333333333333,750000.0
Apartamento,154.0,3.0,4.0,2.0,-21.808695999999998,-46.576769,1.3333333333333333,1004528.0
Casa,160.0,3.0,4.0,2.0,-21.808695999999998,-46.576769,1.3333333333333333,500000.0
Casa,96.0,3.0,1.0,4.0,-22.955348,-43.285011,0.3333333333333333,350000.0
Apartamento,70.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,315000.0
Casa,167.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,530000.0
Apartamento,94.0,3.0,2.0,,-21.795123,-46.561417999999996,0.6666666666666666,440000.0
Apartamento,50.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,320000.0
Casa,60.0,2.0,1.0,1.0,-22.131971,-46.312564,0.5,200000.0
Casa,334.0,3.0,2.0,3.0,-21.808695999999998,-46.576769,0.6666666666666666,2200000.0
Casa,100.0,3.0,1.0,1.0,-21.808695999999998,-46.576769,0.3333333333333333,350000.0
Apartamento,78.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,250000.0
Casa,240.0,3.0,3.0,4.0,-21.792734,-46.565307000000004,1.0,1200000.0
Apartamento,90.0,3.0,3.0,2.0,-21.795123,-46.561417999999996,1.0,620000.0
Casa,10.0,3.0,3.0,1.0,-21.785331,-46.542704,1.0,735000.0
Apartamento,92.0,3.0,1.0,2.0,-19.664278,-43.862644,0.3333333333333333,300000.0
Casa,76.0,3.0,2.0,2.0,-19.664278,-43.862644,0.6666666666666666,380000.0
Apartamento,43.0,2.0,1.0,1.0,-16.652012,-46.268840999999995,0.5,165000.0
Apartamento,132.0,3.0,4.0,,-23.519116,-46.406946999999995,1.3333333333333333,750000.0
Apartamento,107.0,3.0,3.0,1.0,-21.808695999999998,-46.576769,1.0,630000.0
Casa,391.0,3.0,4.0,4.0,-22.885289,-43.328431,1.3333333333333333,1600000.0
Apartamento,140.0,3.0,1.0,2.0,-22.118814999999998,-46.683995,0.3333333333333333,600000.0
Apartamento,67.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,450000.0
Casa,160.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,400000.0
Casa,160.0,3.0,2.0,4.0,-22.118814999999998,-46.683995,0.6666666666666666,450000.0
Apartamento,75.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,640017.0
Apartamento,52.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,180000.0
Apartamento,65.0,2.0,1.0,2.0,-22.118814999999998,-46.683995,0.5,250000.0
Casa,147.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,512959.0
Casa,128.0,3.0,1.0,2.0,-21.788288,-46.551419,0.3333333333333333,450000.0
Casa,238.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,750000.0
Apartamento,69.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,450000.0
Apartamento,97.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,420000.0
Casa,104.0,3.0,2.0,2.0,-22.995627,-43.257154,0.6666666666666666,450000.0
Casa,280.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,550000.0
Apartamento,67.0,2.0,1.0,1.0,-21.787361999999998,-46.587752,0.5,350000.0
Apartamento,74.0,2.0,2.0,,-23.519116,-46.406946999999995,1.0,280000.0
Apartamento,84.0,2.0,2.0,1.0,-21.787361999999998,-46.587752,1.0,275000.0
Apartamento,120.0,3.0,1.0,1.0,-21.795123,-46.561417999999996,0.3333333333333333,315000.0
Apartamento,83.0,3.0,2.0,2.0,-23.519116,-46.406946999999995,0.6666666666666666,400000.0
Casa,130.0,2.0,3.0,2.0,-21.777785,-46.619565,1.5,500000.0
Apartamento,88.0,3.0,1.0,2.0,-21.787361999999998,-46.587752,0.3333333333333333,395000.0
Apartamento,96.0,3.0,2.0,2.0,-23.519116,-46.406946999999995,0.6666666666666666,620000.0
Casa,186.0,3.0,2.0,6.0,-21.788288,-46.551419,0.6666666666666666,420000.0
Apartamento,75.0,2.0,2.0,1.0,-31.751756,-52.377656,1.0,282100.0
Apartamento,70.0,2.0,2.0,1.0,-21.800615,-46.573165,1.0,230000.0
Apartamento,70.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,290000.0
Apartamento,86.0,2.0,1.0,2.0,-22.118814999999998,-46.683995,0.5,450000.0
Apartamento,50.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,199000.0
Apartamento,85.0,3.0,1.0,2.0,-28.453917999999998,-48.945153000000005,0.3333333333333333,320000.0
Apartamento,58.0,1.0,1.0,1.0,-22.118814999999998,-46.683995,1.0,280000.0
Apartamento,100.0,3.0,2.0,2.0,-22.885289,-43.328431,0.6666666666666666,458000.0
Apartamento,74.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,220000.0
Casa,160.0,3.0,1.0,2.0,-21.777785,-46.619565,0.3333333333333333,650000.0
Apartamento,66.0,2.0,2.0,1.0,-22.118814999999998,-46.683995,1.0,255000.0
Casa,85.0,2.0,2.0,2.0,-19.86055,-43.882504,1.0,375000.0
Apartamento,59.0,2.0,1.0,1.0,-22.955348,-43.285011,0.5,209633.0
Apartamento,60.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,275000.0
Apartamento,122.0,3.0,2.0,2.0,-23.014179000000002,-45.574445000000004,0.6666666666666666,440000.0
Apartamento,64.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,220000.0
Casa,238.0,4.0,5.0,2.0,-23.471970000000002,-50.24535,1.25,400000.0
Apartamento,82.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,250000.0
Casa,420.0,3.0,4.0,4.0,-21.791323000000002,-46.566024,1.3333333333333333,1800000.0
Apartamento,64.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,190000.0
Casa,180.0,2.0,2.0,,-21.808695999999998,-46.576769,1.0,425000.0
Apartamento,72.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,280000.0
Casa,430.0,4.0,3.0,2.0,-21.791,-46.588941,0.75,1500000.0
